name,engine,kmpl,brand,selling_price,ex_showroom_price
"Hero Honda Splendor Plus",100-200,45,Hero,18000,28000
"Yamaha FZ S V 2.0",100-200,48,Yamaha,50000,84042
"Bajaj Avenger Street 220",200-300,51,Bajaj,60000,95955
"Hero Honda Splendor Plus",100-200,60,Hero,15000,25000
"Bajaj Platina 100",100-200,52,Bajaj,30000,40000
"Royal Enfield Thunderbird 350X",300-400,40,Royal_Enfield,160000,164004
"Honda CB Unicorn 150",100-200,56,Honda,50000,74295
"Suzuki Gixxer [2014-2018]",0-100,68,Suzuki,62000,78316
"Bajaj Platina 100",100-200,57,Bajaj,45000,55000
"Royal Enfield Thunderbird 350",300-400,27,Royal_Enfield,120000,130000
"Royal Enfield Thunderbird 500",500-1000,18,Royal_Enfield,125000,190874
"Bajaj Pulsar AS150",100-200,55,Bajaj,50000,80821
"Bajaj Pulsar 150",100-200,60,Bajaj,30000,74000
"Hero Pleasure",100-200,48,Hero,40000,51600
"Honda Aviator",100-200,58,Honda,41000,63537
"Royal Enfield Thunderbird 350",300-400,38,Royal_Enfield,120000,130000
"Hero Ignitor",100-200,60,Hero,35000,67722
"Hero Honda CD100SS",100-200,64,Hero,10000,20000
"TVS Apache RTR 160",100-200,52,TVS,35000,81000
"Hero Achiever 150",100-200,47,Hero,38000,69750
"Vespa LX 125",100-200,51,Vespa,50000,77900
"Honda Activa 3G",100-200,51,Honda,40000,54605
"Hero Splendor Plus i3s",100-200,57,Hero,70000,55600
"Royal Enfield Classic 350",300-400,27,Royal_Enfield,140000,147000
"Hero Maestro",100-200,46,Hero,26500,53830
"Hero Glamour 125",100-200,55,Hero,38000,61600
"Yamaha FZ16",100-200,54,Yamaha,60000,78712
"Royal Enfield Himalayan",300-400,41,Royal_Enfield,145000,155000
"Yamaha FZ S V 2.0",100-200,61,Yamaha,78000,84480
"Hero Maestro Edge",100-200,59,Hero,58000,54580
"Yamaha FZ25",100-200,46,Yamaha,130000,132680
"TVS Victor",0-100,80,TVS,20000,54852
"Bajaj Dominar 400 [2018]",300-400,21,Bajaj,150000,163331
"Bajaj Pulsar 180",100-200,48,Bajaj,32000,85011
"Bajaj Pulsar 180",100-200,59,Bajaj,50000,85011
"KTM 200 Duke",200-300,29,KTM,120000,130000
"Bajaj Avenger Street 150 [2018]",100-200,48,Bajaj,60000,80435
"Bajaj Discover 100 M",100-200,56,Bajaj,20000,44756
"Royal Enfield Bullet 350 [2007-2011]",200-300,42,Royal_Enfield,65000,75000
"Yamaha YZF R15 S",100-200,54,Yamaha,70000,117926
"Yamaha FZ V 2.0",100-200,54,Yamaha,35000,81508
"Bajaj Avenger Street 220",200-300,43,Bajaj,95000,95955
"Bajaj Pulsar 150",100-200,47,Bajaj,8000,74000
"Royal Enfield Thunderbird 350",300-400,23,Royal_Enfield,85000,95000
"Hero Achiever 150",100-200,46,Hero,65000,69750
"Hero Passion Pro 110",100-200,46,Hero,39000,49000
"Hero Duet",100-200,45,Hero,45000,50280
"Bajaj Avenger Street 150 [2018]",100-200,45,Bajaj,60000,80435
"Royal Enfield Classic Stealth Black",300-400,33,Royal_Enfield,160000,204977
"Bajaj Pulsar 150",100-200,63,Bajaj,35000,74000
"Bajaj Pulsar 135 LS",100-200,55,Bajaj,40000,64589
"Yamaha Fazer [2009-2016]",200-300,38,Yamaha,40000,84751
"Honda CB Hornet 160R",100-200,64,Honda,56000,87543
"Honda CB Unicorn Dazzler",100-200,49,Honda,22000,71757
"Yamaha YBR 125",100-200,49,Yamaha,36000,54593
"Suzuki Intruder 150 Fi",100-200,55,Suzuki,100000,110240
"Bajaj V15",0-100,80,Bajaj,42000,67187
"Royal Enfield Electra 5 S",300-400,32,Royal_Enfield,85000,95000
"Hero Passion PRO TR",100-200,62,Hero,45000,54586
"Yamaha FZ25",100-200,60,Yamaha,145000,133680
"Hero Karizma [2003-2014]",200-300,37,Hero,50000,85766
"Royal Enfield Interceptor 650",500-1000,20,Royal_Enfield,270000,280000
"Royal Enfield Thunderbird 350",300-400,21,Royal_Enfield,60000,70000
"Royal Enfield Classic Squadron Blue",300-400,28,Royal_Enfield,140000,181445
"Hero Honda Splendor Plus",100-200,48,Hero,28000,38000
"KTM 390 Duke ABS [2013-2016]",300-400,36,KTM,180000,202127
"Bajaj Pulsar 180",100-200,57,Bajaj,42000,85011
"Suzuki Access 125 [2007-2016]",200-300,43,Suzuki,16000,58314
"Hero Splendor iSmart",100-200,56,Hero,40000,52271
"Bajaj Pulsar 180",100-200,47,Bajaj,38000,85011
"Yamaha YZF R15 S",100-200,59,Yamaha,85000,117926
"Honda Aviator",100-200,52,Honda,28000,63537
"KTM 200 Duke",200-300,30,KTM,135000,145000
"Royal Enfield Thunderbird 350",300-400,36,Royal_Enfield,120000,130000
"Hero Karizma ZMR",100-200,59,Hero,37000,108000
"Royal Enfield Classic Chrome",300-400,27,Royal_Enfield,135000,189313
"Hero Honda Splendor",100-200,55,Hero,10000,20000
"Mahindra Rodeo",0-100,79,Mahindra,20000,47343
"TVS Apache RTR 160",100-200,52,TVS,83299,81000
"Yamaha Fazer FI V 2.0 [2016-2018]",100-200,52,Yamaha,65000,89643
"Honda Activa 5G",100-200,60,Honda,50000,59422
"Bajaj Pulsar 220 Fi",200-300,41,Bajaj,65000,75000
"Hero Honda Karizma ZMR [2010]",100-200,57,Hero,45000,55000
"Honda CB Hornet 160R",100-200,64,Honda,60000,92210
"Royal Enfield Bullet 350",300-400,31,Royal_Enfield,110000,117000
"Hero Honda CD Deluxe",100-200,61,Hero,14700,24700
"Yamaha Saluto",100-200,51,Yamaha,38000,63180
"Suzuki Access 125",100-200,45,Suzuki,70000,76632
"TVS Sport",0-100,76,TVS,35000,45000
"Hero Honda Glamour",100-200,47,Hero,19000,29000
"KTM 125 Duke",100-200,57,KTM,130000,140000
"Bajaj Pulsar NS200",200-300,40,Bajaj,50000,60000
"Bajaj Pulsar 150 [2001-2011]",200-300,50,Bajaj,18000,28000
"Hero Xtreme 200R",200-300,28,Hero,87000,93400
"Hero Honda Splendor Plus",100-200,60,Hero,40000,50000
"Bajaj Discover 150S",100-200,46,Bajaj,35000,63331
"Honda CBR-250R",100-200,64,Honda,100000,171646
"Hero Pleasure",100-200,58,Hero,30000,51600
"Bajaj Avenger Cruise 220",200-300,40,Bajaj,95000,105000
"Bajaj Discover 125 ST",100-200,52,Bajaj,25000,58438
"Bajaj Pulsar 150 [2001-2011]",200-300,38,Bajaj,26500,36500
"Bajaj Boxer",0-100,77,Bajaj,12000,22000
"Bajaj Pulsar 150",100-200,62,Bajaj,20000,74000
"Royal Enfield Classic Signals",300-400,30,Royal_Enfield,195000,164095
"Bajaj Pulsar 180",100-200,49,Bajaj,14900,85011
"Honda Dream Yuga",100-200,56,Honda,48000,56147
"Yamaha FZ S [2012-2016]",100-200,49,Yamaha,40000,79432
"Honda CB Unicorn",100-200,53,Honda,45000,71681
"Honda Shine",100-200,52,Honda,25000,35000
"Honda Activa 3G",100-200,58,Honda,25000,54605
"Honda Activa [2000-2015]",200-300,46,Honda,10000,50267
"Mahindra Flyte",0-100,75,Mahindra,22000,44493
"Honda Activa 3G",100-200,48,Honda,45000,54605
"KTM 250 Duke",200-300,37,KTM,135000,145000
"Yamaha Ray Z",100-200,63,Yamaha,75000,52949
"Bajaj Pulsar 135 LS",100-200,45,Bajaj,24000,64589
"Yamaha FZ16",100-200,50,Yamaha,45000,78712
"Hero Passion PRO i3s",100-200,54,Hero,55000,54475
"Bajaj Discover 125",100-200,53,Bajaj,10000,57549
"Royal Enfield Classic 350",300-400,36,Royal_Enfield,135000,147000
"Honda CB Unicorn 150",100-200,61,Honda,55000,74295
"Bajaj Avenger [2015]",100-200,60,Bajaj,35000,75502
"Bajaj Super",0-100,81,Bajaj,20000,30000
"Bajaj Pulsar 150",100-200,51,Bajaj,26000,74000
"Honda Activa [2000-2015]",200-300,47,Honda,23000,50267
"Royal Enfield Classic Desert Storm",300-400,30,Royal_Enfield,150000,181445
"Hero Honda CD Deluxe",100-200,51,Hero,24700,34700
"Hero Duet",100-200,56,Hero,35000,54080
"Hero Honda Passion PRO [2012]",100-200,63,Hero,12000,22000
"Royal Enfield Classic 350",300-400,22,Royal_Enfield,150000,147000
"Honda Activa 3G",100-200,45,Honda,50000,54605
"Honda Activa [2000-2015]",200-300,48,Honda,25000,50267
"Hero Honda CD100",100-200,50,Hero,15000,25000
"Hero Super Splendor",100-200,50,Hero,35000,57000
"Honda CB Trigger",100-200,55,Honda,45000,83437
"Honda Dream Yuga",100-200,63,Honda,25000,56147
"Hero Honda Passion Plus",100-200,63,Hero,40000,50000
"TVS Spectra",0-100,65,TVS,17000,27000
"Hero Ignitor",100-200,60,Hero,30000,67722
"Hero Honda CD100",100-200,50,Hero,15000,25000
"Bajaj Pulsar 220F",200-300,49,Bajaj,60000,70000
"Hero Splendor Plus",100-200,64,Hero,30000,40000
"Yamaha YZF R15 [2011-2018]",100-200,64,Yamaha,60000,118997
"Honda Activa 3G",100-200,64,Honda,32000,54605
"Bajaj Discover 150",100-200,64,Bajaj,30000,54299
"Bajaj Pulsar 150 [2001-2011]",200-300,47,Bajaj,55000,65000
"Bajaj Avenger Street 150 [2018]",100-200,63,Bajaj,75000,80435
"TVS Star City Plus",0-100,66,TVS,52000,62000
"Bajaj Discover 125",100-200,61,Bajaj,38000,60122
"Bajaj Discover 135",100-200,50,Bajaj,12000,22000
"Honda CB Shine SP",100-200,61,Honda,47000,64750
"Honda Activa [2000-2015]",200-300,38,Honda,22000,50267
"Bajaj Avenger [2015]",100-200,53,Bajaj,65000,75502
"Bajaj Platina 100",100-200,55,Bajaj,23000,33000
"Bajaj Discover 100",100-200,51,Bajaj,30000,42859
"Bajaj Pulsar 150",100-200,47,Bajaj,35000,74000
"Bajaj Avenger Street 150 [2018]",100-200,58,Bajaj,80000,80435
"Bajaj Platina 100",100-200,46,Bajaj,20000,30000
"Bajaj Pulsar 150",100-200,49,Bajaj,16000,74000
"Bajaj Pulsar 150",100-200,64,Bajaj,20000,74000
"Bajaj Pulsar NS200",200-300,49,Bajaj,50000,60000
"Honda CB Trigger",100-200,50,Honda,40000,76572
"Bajaj Pulsar 135 LS",100-200,51,Bajaj,20000,64589
"Bajaj Pulsar 180",100-200,62,Bajaj,65000,85011
"Yamaha YZF R15 S",100-200,50,Yamaha,85000,117926
"Hero Splendor Plus",100-200,62,Hero,12000,22000
"Hero Xpulse 200T",200-300,27,Hero,105000,96500
"Yamaha FZ S V 2.0",100-200,56,Yamaha,40000,84042
"Bajaj Discover 150",100-200,48,Bajaj,30000,54299
"Honda Activa [2000-2015]",200-300,38,Honda,25000,50267
"Hero Splendor PRO",100-200,46,Hero,40000,51994
"Honda Dream Neo",100-200,45,Honda,45000,49211
"Bajaj CT 100",100-200,60,Bajaj,40000,50000
"Suzuki Access 125",100-200,61,Suzuki,70000,76632
"Honda Activa [2000-2015]",200-300,31,Honda,30000,50267
"Hero Honda Pleasure",100-200,61,Hero,25000,35000
"Bajaj Platina 100",100-200,57,Bajaj,20000,30000
"Honda CB Hornet 160R",100-200,58,Honda,70000,87719
"Bajaj V15",0-100,71,Bajaj,50000,65626
"Hero Honda CD Deluxe",100-200,56,Hero,25000,35000
"Bajaj Pulsar 150",100-200,62,Bajaj,22000,74000
"Honda Activa [2000-2015]",200-300,42,Honda,35000,50267
"TVS Apache RTR 160",100-200,54,TVS,40000,81000
"Bajaj Pulsar 220F",200-300,38,Bajaj,75000,85000
"Hero Honda Passion PRO [2012]",100-200,63,Hero,28000,38000
"Hero Maestro Edge",100-200,46,Hero,55000,52790
"Honda Dio",100-200,55,Honda,30000,40000
"Hero Glamour 125",100-200,55,Hero,40000,61600
"Bajaj Avenger Street 160",100-200,45,Bajaj,85000,95000
"Hero Honda CD Deluxe",100-200,57,Hero,12000,22000
"Yamaha YBR 125",100-200,46,Yamaha,35000,54593
"Bajaj Pulsar 150",100-200,55,Bajaj,25000,74000
"Bajaj Pulsar 150",100-200,51,Bajaj,40000,74000
"Hero Honda CD Deluxe",100-200,64,Hero,15000,25000
"Hero Passion PRO i3s",100-200,46,Hero,55000,54475
"Bajaj Pulsar 180",100-200,50,Bajaj,60000,85011
"Yamaha Fazer 25",100-200,49,Yamaha,115000,142680
"TVS Excel",0-100,77,TVS,5000,15000
"Honda Shine",100-200,50,Honda,40000,50000
"Honda Dream Neo",100-200,59,Honda,50000,49211
"Honda Dio",100-200,61,Honda,28000,38000
"Hero Splendor Plus",100-200,61,Hero,35000,45000
"Bajaj Xcd",0-100,71,Bajaj,25000,35000
"TVS Streak",0-100,76,TVS,20000,30000
"Bajaj Pulsar 180",100-200,60,Bajaj,40000,85011
"Hero Xtreme 200R",200-300,39,Hero,86000,93400
"Yamaha YZF R15 [2011-2018]",100-200,53,Yamaha,65000,118997
"Bajaj Avenger Street 150 [2018]",100-200,60,Bajaj,60000,80435
"Yamaha RX135",100-200,58,Yamaha,65000,75000
"Honda CB Shine SP",100-200,45,Honda,41000,66697
"Honda CBR150 R",100-200,46,Honda,110000,129662
"Honda Dream Yuga",100-200,49,Honda,32000,56147
"Honda Shine",100-200,63,Honda,37000,47000
"Hero Splendor Plus i3s",100-200,45,Hero,65000,55600
"Hero Honda Passion Plus",100-200,50,Hero,18000,28000
"Hero Honda Passion PRO [2012]",100-200,53,Hero,28700,38700
"Honda Activa 3G",100-200,49,Honda,35000,54605
"Bajaj Pulsar 180F",100-200,63,Bajaj,100000,110000
"Hero Honda Glamour",100-200,63,Hero,21000,31000
"Bajaj Pulsar 150 [2001-2011]",200-300,29,Bajaj,30000,40000
"TVS Apache RTR 200 4V",200-300,51,TVS,90000,100000
"Bajaj Super",0-100,70,Bajaj,6000,16000
"Hero Honda Passion Plus",100-200,62,Hero,23500,33500
"Bajaj Pulsar 150",100-200,57,Bajaj,55000,74000
"Yamaha SZ X",100-200,54,Yamaha,35000,65800
"Hero Honda CD100",100-200,54,Hero,15000,25000
"Bajaj Pulsar 180",100-200,45,Bajaj,35000,85011
"Bajaj Pulsar 220 DTS-i",200-300,43,Bajaj,40000,50000
"Hero Honda Achiever",100-200,58,Hero,15000,25000
"Hero Honda Karizma",100-200,52,Hero,40000,50000
"Honda CB Unicorn 160",100-200,60,Honda,75000,77545
"Bajaj Avenger Cruise 220",200-300,36,Bajaj,70000,80000
"Bajaj Discover 135",100-200,59,Bajaj,22000,32000
"Yamaha FZ S V 2.0",100-200,50,Yamaha,80000,87042
"Bajaj Pulsar 150",100-200,50,Bajaj,72000,74000
"Hero HF Deluxe",100-200,53,Hero,30000,40000
"Bajaj Pulsar 135 LS",100-200,52,Bajaj,25000,64589
"Aprilia SR 125",100-200,56,Aprilia,65000,75000
"Bajaj Pulsar 150",100-200,61,Bajaj,68000,74000
"Hero Duet",100-200,54,Hero,27000,50280
"Honda CB Twister",100-200,60,Honda,25000,57241
"Bajaj Discover 125",100-200,52,Bajaj,45000,60122
"Honda CBR-250R",100-200,59,Honda,200000,202310
"Bajaj Pulsar 180",100-200,53,Bajaj,20100,85011
"Honda Shine",100-200,63,Honda,30000,40000
"Suzuki Swish [2012-2015]",0-100,75,Suzuki,30000,51685
"TVS Star City",0-100,68,TVS,21000,47108
"Hero Super Splendor",100-200,50,Hero,45000,57000
"Yamaha Fazer [2009-2016]",200-300,48,Yamaha,45000,84751
"TVS Scooty Pep DLX",0-100,65,TVS,14500,24500
"Honda Dream Yuga",100-200,60,Honda,47000,56147
"TVS Star City Plus",0-100,76,TVS,26000,36000
"Yamaha Fazer [2009-2016]",200-300,32,Yamaha,25000,84751
"Hero Honda Street Smart",100-200,62,Hero,10000,20000
"TVS Apache RTR 160",100-200,48,TVS,50000,81000
"Honda Dio",100-200,48,Honda,23000,33000
"Honda Activa [2000-2015]",200-300,37,Honda,50000,50267
"Hero Maestro Edge",100-200,51,Hero,46000,55980
"Honda CB Hornet 160R",100-200,45,Honda,80000,87719
"Hero Karizma [2003-2014]",200-300,38,Hero,50000,85766
"Honda CB Trigger",100-200,50,Honda,40000,83437
"Honda CB Hornet 160R",100-200,52,Honda,70000,87719
"Hero Glamour FI",100-200,63,Hero,30900,71150
"Bajaj Avenger [2015]",100-200,55,Bajaj,65000,75502
"Hero Honda Splendor Plus",100-200,61,Hero,15000,25000
"TVS Apache RTR 160",100-200,55,TVS,89999,81000
"Hero Honda Splendor Plus",100-200,50,Hero,17600,27600
"Bajaj Platina 100",100-200,58,Bajaj,17000,27000
"Yamaha FZ25",100-200,57,Yamaha,90000,132680
"Bajaj Pulsar 150 [2001-2011]",200-300,30,Bajaj,35000,45000
"Yamaha YZF R15 S",100-200,64,Yamaha,70000,117926
"Bajaj Discover 125",100-200,46,Bajaj,15000,57549
"Hero Passion PRO i3s",100-200,53,Hero,35000,54475
"Honda Activa [2000-2015]",200-300,33,Honda,15000,50267
"Bajaj Discover 125",100-200,63,Bajaj,50000,60122
"Suzuki Gixxer [2014-2018]",0-100,66,Suzuki,69000,82813
"TVS Wego",0-100,74,TVS,15000,54760
"Bajaj Discover 150",100-200,51,Bajaj,25000,54299
"Suzuki Access 125 [2007-2016]",200-300,47,Suzuki,30000,58314
"Hero Karizma 2014",100-200,61,Hero,45000,86744
"Hero CD Deluxe",100-200,49,Hero,35000,45000
"Yamaha Fazer 25",100-200,57,Yamaha,120000,142680
"Hero Splendor Plus",100-200,55,Hero,25000,35000
"Yamaha YZF R15 [2011-2018]",100-200,58,Yamaha,80000,118997
"Hero Honda Splendor Plus",100-200,63,Hero,10000,20000
"TVS Apache RTR 160",100-200,54,TVS,70000,81000
"Bajaj Pulsar 150",100-200,56,Bajaj,35000,74000
"Hero Glamour 125",100-200,56,Hero,40000,61600
"Hero Honda Passion Plus",100-200,47,Hero,20000,30000
"Honda CB Twister",100-200,64,Honda,30000,57241
"Bajaj CT 100",100-200,53,Bajaj,8000,18000
"Bajaj Pulsar 220 DTS-i",200-300,34,Bajaj,65000,75000
"Hero Honda Super Splendor [2005]",200-300,27,Hero,20000,30000
"Honda CB Trigger",100-200,50,Honda,45000,76572
"Hero Hunk",100-200,46,Hero,35000,78513
"Bajaj Discover 150",100-200,55,Bajaj,25000,54299
"TVS Apache RTR 160",100-200,53,TVS,15000,81000
"Hero Xtreme Sports",100-200,55,Hero,65000,78350
"Bajaj Avenger [2015]",100-200,51,Bajaj,45000,75502
"Honda Activa 125",100-200,45,Honda,45000,57000
"Bajaj Pulsar 220F",200-300,34,Bajaj,50000,60000
"Bajaj Pulsar NS200",200-300,36,Bajaj,85000,95000
"Hero Honda Splendor",100-200,47,Hero,25000,35000
"Honda CB Unicorn 150",100-200,58,Honda,60000,74295
"Suzuki Gixxer SF Fi",0-100,74,Suzuki,100000,103170
"KTM RC 200",200-300,50,KTM,180000,190000
"Bajaj Discover 100",100-200,62,Bajaj,25000,42859
"TVS Wego",0-100,65,TVS,15000,54760
"Honda CB Hornet 160R",100-200,51,Honda,60000,92210
"Yamaha YZF R15 S",100-200,45,Yamaha,75000,117926
"Hero CBZ",100-200,46,Hero,35000,45000
"TVS Scooty Zest 110",0-100,74,TVS,55000,53751
"Yamaha FZ S V 2.0",100-200,52,Yamaha,85000,87042
"Hero Honda Glamour",100-200,55,Hero,35000,45000
"Hero Honda CBZ extreme",100-200,57,Hero,35000,78700
"Yamaha FZ S V 2.0",100-200,56,Yamaha,60000,84042
"Suzuki Access 125",100-200,63,Suzuki,40000,76632
"Bajaj Pulsar 150",100-200,63,Bajaj,30000,74000
"Bajaj Pulsar NS160",100-200,63,Bajaj,80000,90000
"Hero Splendor PRO",100-200,61,Hero,24000,51994
"Honda Shine",100-200,53,Honda,18000,28000
"Hero Passion Pro 110",100-200,55,Hero,20000,30000
"Yamaha FZ16",100-200,52,Yamaha,40000,78712
"Suzuki Access 125",100-200,50,Suzuki,20000,76632
"TVS Jupiter",0-100,78,TVS,70000,80000
"Hero Passion Pro 110",100-200,48,Hero,50000,60000
"Yamaha FZ S V 2.0",100-200,48,Yamaha,75000,84042
"Honda Livo",100-200,51,Honda,25000,35000
"Honda CB Hornet 160R",100-200,47,Honda,70000,87543
"Honda Activa 125 [2016-2017]",100-200,58,Honda,55000,61545
"Honda Activa 5G",100-200,46,Honda,51000,59422
"Yamaha Saluto",100-200,49,Yamaha,74000,59844
"Yamaha FZ S V 2.0",100-200,63,Yamaha,65000,84042
"Bajaj Avenger Street 150 [2018]",100-200,64,Bajaj,60000,80435
"Bajaj Pulsar 220F",200-300,44,Bajaj,110000,120000
"Yamaha YZF R15 [2011-2018]",100-200,48,Yamaha,50000,118997
"TVS Apache RTR 160 4V",100-200,62,TVS,85009,95009
"Hero Passion Pro 110",100-200,60,Hero,60000,70000
"Bajaj Pulsar 150",100-200,52,Bajaj,25000,74000
"TVS Apache RTR 160 4V",100-200,56,TVS,75000,85000
"Honda CB Unicorn 150",100-200,60,Honda,30000,74295
"Honda Activa [2000-2015]",200-300,42,Honda,16600,50267
"Honda Activa 3G",100-200,47,Honda,30000,54605
"Honda Shine",100-200,48,Honda,20000,30000
"Honda Activa 5G",100-200,58,Honda,62000,59422
"Bajaj Avenger Street 220",200-300,50,Bajaj,60000,95955
"Hero Xtreme [2013-2014]",100-200,59,Hero,45000,72492
"Yamaha FZ S [2012-2016]",100-200,59,Yamaha,40000,79432
"Suzuki Intruder 150",100-200,54,Suzuki,75000,85000
"Yamaha Fazer [2009-2016]",200-300,47,Yamaha,50000,84751
"Bajaj Pulsar RS 200",200-300,36,Bajaj,105000,115000
"Bajaj Discover 135",100-200,46,Bajaj,30000,40000
"Hero Honda CBZ",100-200,46,Hero,10000,20000
"Bajaj Pulsar 135 LS",100-200,46,Bajaj,45000,64589
"Yamaha Fazer 25",100-200,48,Yamaha,145000,142680
"Honda CB Unicorn 150",100-200,55,Honda,45000,74295
"Honda Activa 5G",100-200,50,Honda,65000,59422
